ModelYear	Year	Ethnicity	Sex	ROB	Age	Value	ShortTerm
0	2011	0	0	0	0	1988.00	0.00
0	2011	0	0	0	1	4072.00	0.00
0	2011	0	0	0	2	5691.00	0.00
0	2011	0	0	0	3	6550.00	0.00
0	2011	0	0	0	4	7359.00	0.00
0	2011	0	0	0	5	8218.00	0.00
0	2011	0	0	0	6	8229.00	0.00
0	2011	0	0	0	7	8734.00	0.00
0	2011	0	0	0	8	8592.00	0.00
0	2011	0	0	0	9	8802.00	0.00
0	2011	0	0	0	10	9060.00	0.00
0	2011	0	0	0	11	9379.00	0.00
0	2011	0	0	0	12	9582.00	0.00
0	2011	0	0	0	13	9845.00	0.00
0	2011	0	0	0	14	10263.00	0.00
0	2011	0	0	0	15	10598.00	0.00
0	2011	0	0	0	16	10569.00	0.00
0	2011	0	0	0	17	10982.00	0.00
0	2011	0	0	0	18	12418.00	0.00
0	2011	0	0	0	19	15072.00	0.00
0	2011	0	0	0	20	18796.00	0.00
0	2011	0	0	0	21	20501.00	0.00
0	2011	0	0	0	22	22785.00	0.00
0	2011	0	0	0	23	25738.00	0.00
0	2011	0	0	0	24	29998.00	0.00
0	2011	0	0	0	25	36131.00	0.00
0	2011	0	0	0	26	40292.00	0.00
0	2011	0	0	0	27	44861.00	0.00
0	2011	0	0	0	28	47608.00	0.00
0	2011	0	0	0	29	48381.00	0.00
0	2011	0	0	0	30	49327.00	0.00
0	2011	0	0	0	31	47629.00	0.00
0	2011	0	0	0	32	45194.00	0.00
0	2011	0	0	0	33	42477.00	0.00
0	2011	0	0	0	34	41011.00	0.00
0	2011	0	0	0	35	37896.00	0.00
0	2011	0	0	0	36	35847.00	0.00
0	2011	0	0	0	37	33383.00	0.00
0	2011	0	0	0	38	31572.00	0.00
0	2011	0	0	0	39	29883.00	0.00
0	2011	0	0	0	40	28541.00	0.00
0	2011	0	0	0	41	26905.00	0.00
0	2011	0	0	0	42	25208.00	0.00
0	2011	0	0	0	43	24384.00	0.00
0	2011	0	0	0	44	23560.00	0.00
0	2011	0	0	0	45	22717.00	0.00
0	2011	0	0	0	46	22210.00	0.00
0	2011	0	0	0	47	21717.00	0.00
0	2011	0	0	0	48	20524.00	0.00
0	2011	0	0	0	49	19479.00	0.00
0	2011	0	0	0	50	19293.00	0.00
0	2011	0	0	0	51	18487.00	0.00
0	2011	0	0	0	52	17775.00	0.00
0	2011	0	0	0	53	17024.00	0.00
0	2011	0	0	0	54	16378.00	0.00
0	2011	0	0	0	55	15983.00	0.00
0	2011	0	0	0	56	15192.00	0.00
0	2011	0	0	0	57	14290.00	0.00
0	2011	0	0	0	58	14332.00	0.00
0	2011	0	0	0	59	13936.00	0.00
0	2011	0	0	0	60	13556.00	0.00
0	2011	0	0	0	61	13583.00	0.00
0	2011	0	0	0	62	13993.00	0.00
0	2011	0	0	0	63	14310.00	0.00
0	2011	0	0	0	64	13580.00	0.00
0	2011	0	0	0	65	11611.00	0.00
0	2011	0	0	0	66	11341.00	0.00
0	2011	0	0	0	67	11262.00	0.00
0	2011	0	0	0	68	10477.00	0.00
0	2011	0	0	0	69	9942.00	0.00
0	2011	0	0	0	70	10025.00	0.00
0	2011	0	0	0	71	9972.00	0.00
0	2011	0	0	0	72	9358.00	0.00
0	2011	0	0	0	73	8991.00	0.00
0	2011	0	0	0	74	8631.00	0.00
0	2011	0	0	0	75	8133.00	0.00
0	2011	0	0	0	76	7468.00	0.00
0	2011	0	0	0	77	7048.00	0.00
0	2011	0	0	0	78	6475.00	0.00
0	2011	0	0	0	79	6369.00	0.00
0	2011	0	0	0	80	6032.00	0.00
0	2011	0	0	0	81	5560.00	0.00
0	2011	0	0	0	82	5113.00	0.00
0	2011	0	0	0	83	4952.00	0.00
0	2011	0	0	0	84	5100.00	0.00
0	2011	0	0	0	85	4847.00	0.00
0	2011	0	0	0	86	4193.00	0.00
0	2011	0	0	0	87	3430.00	0.00
0	2011	0	0	0	88	2846.00	0.00
0	2011	0	0	0	89	2223.00	0.00
0	2011	0	0	0	90	1753.00	0.00
0	2011	0	0	0	91	1252.00	0.00
0	2011	0	0	0	92	779.00	0.00
0	2011	0	0	0	93	525.00	0.00
0	2011	0	0	0	94	382.00	0.00
0	2011	0	0	0	95	319.00	0.00
0	2011	0	0	0	96	254.00	0.00
0	2011	0	0	0	97	158.00	0.00
0	2011	0	0	0	98	127.00	0.00
0	2011	0	0	0	99	86.00	0.00
0	2011	0	0	0	100	94.00	0.00
0	2011	0	0	0	101	0.00	0.00
0	2011	0	0	0	102	0.00	0.00
0	2011	0	0	0	103	0.00	0.00
0	2011	0	0	0	104	0.00	0.00
0	2011	0	0	0	105	0.00	0.00
0	2011	0	0	0	106	0.00	0.00
0	2011	0	0	0	107	0.00	0.00
0	2011	0	0	0	108	0.00	0.00
0	2011	0	0	0	109	0.00	0.00
0	2011	0	0	0	110	0.00	0.00
0	2011	0	0	0	111	0.00	0.00
0	2011	0	0	0	112	0.00	0.00
0	2011	0	0	0	113	0.00	0.00
0	2011	0	0	0	114	0.00	0.00
0	2011	0	0	0	115	0.00	0.00
0	2011	0	0	0	116	0.00	0.00
0	2011	0	0	0	117	0.00	0.00
0	2011	0	0	0	118	0.00	0.00
0	2011	0	0	0	119	0.00	0.00
0	2011	0	0	0	120	0.00	0.00
0	2011	0	0	1	0	262791.00	0.00
0	2011	0	0	1	1	256107.00	0.00
0	2011	0	0	1	2	251099.00	0.00
0	2011	0	0	1	3	251528.00	0.00
0	2011	0	0	1	4	244957.00	0.00
0	2011	0	0	1	5	238370.00	0.00
0	2011	0	0	1	6	228249.00	0.00
0	2011	0	0	1	7	227909.00	0.00
0	2011	0	0	1	8	220772.00	0.00
0	2011	0	0	1	9	221265.00	0.00
0	2011	0	0	1	10	228929.00	0.00
0	2011	0	0	1	11	239222.00	0.00
0	2011	0	0	1	12	246131.00	0.00
0	2011	0	0	1	13	250331.00	0.00
0	2011	0	0	1	14	256350.00	0.00
0	2011	0	0	1	15	262744.00	0.00
0	2011	0	0	1	16	261527.00	0.00
0	2011	0	0	1	17	268331.00	0.00
0	2011	0	0	1	18	268606.00	0.00
0	2011	0	0	1	19	273316.00	0.00
0	2011	0	0	1	20	282535.00	0.00
0	2011	0	0	1	21	269481.00	0.00
0	2011	0	0	1	22	263147.00	0.00
0	2011	0	0	1	23	265045.00	0.00
0	2011	0	0	1	24	251402.00	0.00
0	2011	0	0	1	25	255872.00	0.00
0	2011	0	0	1	26	249589.00	0.00
0	2011	0	0	1	27	242822.00	0.00
0	2011	0	0	1	28	238800.00	0.00
0	2011	0	0	1	29	241129.00	0.00
0	2011	0	0	1	30	246327.00	0.00
0	2011	0	0	1	31	244026.00	0.00
0	2011	0	0	1	32	231523.00	0.00
